LAT,LON,SPEED,DESTINATION,FLAG,SHIPNAME,SHIP_ID,DATETIME,PORT,ship_type,is_parked,Date_Tm_lag1_sec,Dist_mt,Dist_lag1_mt
59.92125,30.00288,102,SAINT-PETERSBURG,RU,ALEKSANDR GLUKHOV,348222,2016-12-14T23:19:04Z,st_petersburg,Tanker,0,1,52.4688,-6191.3184
59.91975,30.01003,82,SAINT-PETERSBURG,RU,ALEKSANDR GLUKHOV,348222,2016-12-15T13:29:04Z,st_petersburg,Tanker,0,51000,2151220.8,2151168.331
54.43335,18.65376,106,MASFI PLGDN,VU,AMARANTH,737998,2016-12-17T06:21:07Z,gdynia,Tanker,0,5,272.632,-5997.904
54.42727,18.64971,107,MASFI PLGDN,VU,AMARANTH,737998,2016-12-17T06:23:01Z,gdansk,Tanker,0,114,6274.6512,6002.0192
54.70232,18.99672,119,PLGDY,VU,AMARANTH,737998,2016-12-18T15:03:02Z,gdansk,Tanker,0,120,7345.632,-61.728
54.79168,18.95444,99,PLGDY,VU,AMARANTH,737998,2016-12-19T19:33:02Z,gdansk,Tanker,0,102600,5224966.56,5217620.928
57.67698,11.80556,94,GOTHENBURG,MT,AMUR STAR,283840,2016-12-13T12:11:09Z,gothenborg,Tanker,0,3,145.0608,-5456.7552
57.67791,11.81026,97,GOTHENBURG,MT,AMUR STAR,283840,2016-12-13T12:13:06Z,gothenborg,Tanker,0,117,5837.9256,5692.8648
57.68948,11.86994,0,GOTHENG,MT,AMUR STAR,283840,2016-12-14T00:09:06Z,gothenborg,Tanker,1,117,0,0
57.68948,11.86994,0,GOTHENG,MT,AMUR STAR,283840,2016-12-14T00:09:09Z,gothenborg,Tanker,1,3,0,0
59.88694,30.19169,49,SPB,RU,ANGARA,346219,2016-12-15T15:03:04Z,st_petersburg,Tanker,0,0,0,-3024.672
59.88531,30.18351,46,SPB,RU,ANGARA,346219,2016-12-15T15:07:04Z,st_petersburg,Tanker,0,240,5678.976,5678.976
57.66667,11.79544,4,COPENHAGEN*PEC206,SE,ANGON,326598,2016-12-20T03:17:05Z,gothenborg,Tanker,1,121,248.9696,63.7856
57.66719,11.79166,63,COPENHAGEN*PEC206,SE,ANGON,326598,2016-12-20T03:19:05Z,gothenborg,Tanker,0,120,3888.864,3639.8944
57.67043,11.78883,111,GOTEBORG*PEC205,SE,ANGON,326598,2016-12-14T02:29:05Z,gothenborg,Tanker,0,120,6851.808,171.2952
57.69172,11.84372,12,GOTEBORG*PEC205,SE,ANGON,326598,2016-12-14T10:09:05Z,gothenborg,Tanker,0,27600,170369.28,163517.472
57.6,11.70243,9,GOTEBORG*PEC206,SE,ANGON,326598,2016-12-15T13:49:06Z,gothenborg,Tanker,0,120,555.552,306.5824
57.60358,11.67594,113,GOTEBORG*PEC206,SE,ANGON,326598,2016-12-17T09:55:05Z,gothenborg,Tanker,0,158759,9228216.145,9227660.593
59.86993,30.21533,91,SPB,RU,ARIES,351098,2016-12-18T04:49:04Z,st_petersburg,Tanker,0,1,46.8104,-5523.6272
59.87035,30.21558,114,SPB,RU,ARIES,351098,2016-12-18T04:51:03Z,st_petersburg,Tanker,0,119,6978.3504,6931.54
59.90785,30.06818,91,VISOTSK,RU,ARIES,351098,2016-12-19T18:07:04Z,st_petersburg,Tanker,0,1,46.8104,-5523.6272
59.90973,30.05882,92,VISOTSK,RU,ARIES,351098,2016-12-19T18:09:03Z,st_petersburg,Tanker,0,119,5631.6512,5584.8408
54.52868,18.77652,80,GDANSK,KN,ASTERDEA,402746,2016-12-17T11:55:06Z,gdynia,Tanker,0,5,205.76,-4485.568
54.52435,18.77403,81,GDANSK,KN,ASTERDEA,402746,2016-12-17T11:57:02Z,gdansk,Tanker,0,116,4833.3024,4627.5424
54.72745,18.99779,90,SWINOUJSCIE,KN,ASTERDEA,402746,2016-12-18T10:53:02Z,gdansk,Tanker,0,120,5555.52,123.456
54.75035,18.99927,83,SWINOUJSCIE,KN,ASTERDEA,402746,2016-12-18T11:03:01Z,gdansk,Tanker,0,599,25574.4248,20018.9048
59.88725,30.19229,59,CLASS B,RU,AURA,346022,2016-12-19T14:07:04Z,st_petersburg,Tanker,0,0,0,-3641.952
59.8863,30.18579,64,CLASS B,RU,AURA,346022,2016-12-19T14:09:03Z,st_petersburg,Tanker,0,119,3917.6704,3917.6704
57.68262,11.83204,107,SE BRO,MT,B GAS CHAMPION,302841,2016-12-19T14:05:07Z,gothenborg,Tanker,0,2,110.0816,-6329.692
57.68137,11.82096,110,SE BRO,MT,B GAS CHAMPION,302841,2016-12-19T14:07:05Z,gothenborg,Tanker,0,118,6676.912,6566.8304
57.67709,11.8077,109,SE GOT,MT,B GAS CHAMPION,302841,2016-12-18T19:39:08Z,gothenborg,Tanker,0,2,112.1392,-6672.2824
57.67919,11.81938,110,SE GOT,MT,B GAS CHAMPION,302841,2016-12-18T19:41:05Z,gothenborg,Tanker,0,117,6620.328,6508.1888
59.90895,30.06326,110,SKAW,CY,BALTIC AMBITION,144450,2016-12-19T17:35:04Z,st_petersburg,Tanker,0,1,56.584,-6676.912
59.91011,30.05759,111,SKAW,CY,BALTIC AMBITION,144450,2016-12-19T17:37:03Z,st_petersburg,Tanker,0,119,6794.7096,6738.1256
59.91102,30.05273,107,ST PETERSBURG,CY,BALTIC AMBITION,144450,2016-12-18T03:03:04Z,st_petersburg,Tanker,0,1,55.0408,-6494.8144
59.90852,30.06487,110,ST PETERSBURG,CY,BALTIC AMBITION,144450,2016-12-18T03:05:04Z,st_petersburg,Tanker,0,120,6790.08,6735.0392
59.9128,30.0436,113,ST-PETERSBURG,RU,BALTIC EAGLE,347421,2016-12-16T03:25:04Z,st_petersburg,Tanker,0,1,58.1272,-6800.8824
59.9102,30.05617,116,ST-PETERSBURG,RU,BALTIC EAGLE,347421,2016-12-16T03:27:03Z,st_petersburg,Tanker,0,119,7100.7776,7042.6504
59.91815,30.01839,118,UST-LUGA,RU,BALTIC EAGLE,347421,2016-12-16T19:55:04Z,st_petersburg,Tanker,0,0,0,-7283.904
59.92076,30.00512,123,UST-LUGA,RU,BALTIC EAGLE,347421,2016-12-16T19:57:03Z,st_petersburg,Tanker,0,119,7529.2728,7529.2728
59.92155,30.00093,119,ROTTERDAM FOR ORDER,MT,BALTIC FROST,301875,2016-12-19T10:13:04Z,st_petersburg,Tanker,0,0,0,-7284.4184
59.92155,30.00093,119,ROTTERDAM FOR ORDER,MT,BALTIC FROST,301875,2016-12-19T10:15:04Z,st_petersburg,Tanker,0,120,7345.632,7345.632
59.88319,30.16483,0,SKAGEN FO,MT,BALTIC FROST,301875,2016-12-19T07:37:04Z,st_petersburg,Tanker,1,1,0,0
59.88319,30.16483,0,SKAGEN FO,MT,BALTIC FROST,301875,2016-12-19T07:39:05Z,st_petersburg,Tanker,1,121,0,0
59.88315,30.16485,0,ST.PETERS,MT,BALTIC FROST,301875,2016-12-18T09:55:03Z,st_petersburg,Tanker,1,119,0,0
59.88315,30.16485,0,ST.PETERS,MT,BALTIC FROST,301875,2016-12-18T09:55:04Z,st_petersburg,Tanker,1,1,0,0
59.91986,30.00926,119,ST.PETERSBURG,MT,BALTIC FROST,301875,2016-12-16T02:21:04Z,st_petersburg,Tanker,0,1,61.2136,
59.91739,30.0219,115,ST.PETERSBURG,MT,BALTIC FROST,301875,2016-12-16T02:23:03Z,st_petersburg,Tanker,0,119,7039.564,6978.3504
59.90722,30.0717,106,SPB,RU,BALTIC SEAGULL,350220,2016-12-15T15:41:04Z,st_petersburg,Tanker,0,1,54.5264,-6379.5888
59.90483,30.08363,109,SPB,RU,BALTIC SEAGULL,350220,2016-12-15T15:43:04Z,st_petersburg,Tanker,0,120,6728.352,6673.8256
59.90536,30.08098,96,USTLUGA,RU,BALTIC SEAGULL,350220,2016-12-16T09:21:04Z,st_petersburg,Tanker,0,1,49.3824,-5827.1232
59.90755,30.07032,99,USTLUGA,RU,BALTIC SEAGULL,350220,2016-12-16T09:23:03Z,st_petersburg,Tanker,0,119,6060.1464,6010.764
54.78341,18.99923,60,GDANSK,SE,BALTICO,6333,2016-12-16T02:43:02Z,gdansk,Tanker,0,120,3703.68,-493.824
54.51421,18.99791,47,GDANSK,SE,BALTICO,6333,2016-12-16T06:27:02Z,gdansk,Tanker,0,13440,324936.192,321232.512
54.45685,18.99749,129,ROTTERDAM,SE,BALTICO,6333,2016-12-19T03:19:02Z,gdansk,Tanker,0,120,7962.912,-66.3576
54.78958,18.99259,128,ROTTERDAM,SE,BALTICO,6333,2016-12-19T05:01:02Z,gdansk,Tanker,0,6120,402960.384,394997.472
54.6963,20.43878,66,KALININGRAD,RU,BERGEN T,348379,2016-12-13T21:21:03Z,kalingrad,Tanker,0,120,4074.048,61.728
54.69738,20.441,76,KALININGRAD,RU,BERGEN T,348379,2016-12-14T18:07:03Z,kalingrad,Tanker,0,74760,2922697.344,2918623.296
59.9069,30.07375,113,HAMBURG,MT,BESIKTAS HALLAND,288246,2016-12-15T10:41:04Z,st_petersburg,Tanker,0,1,58.1272,-6859.0096
59.90947,30.06107,114,HAMBURG,MT,BESIKTAS HALLAND,288246,2016-12-15T10:43:04Z,st_petersburg,Tanker,0,120,7036.992,6978.8648
59.87521,30.20114,50,KIEL,MT,BESIKTAS HALLAND,288246,2016-12-15T10:05:04Z,st_petersburg,Tanker,0,1,25.72,-3096.1736
59.87833,30.19472,59,KIEL,MT,BESIKTAS HALLAND,288246,2016-12-15T10:07:03Z,st_petersburg,Tanker,0,119,3611.6024,3585.8824
59.86748,30.22342,0,ST PETERSBURG,MT,BESIKTAS HALLAND,288246,2016-12-14T23:47:04Z,st_petersburg,Tanker,1,1,0,0
59.86753,30.22354,1,ST PETERSBURG,MT,BESIKTAS HALLAND,288246,2016-12-14T23:49:04Z,st_petersburg,Tanker,1,120,61.728,61.728
57.67805,11.80838,119,ANTWERP,MT,BESIKTAS ICELAND,3049,2016-12-16T14:07:07Z,gothenborg,Tanker,0,2,122.4272,-7039.564
57.67336,11.79831,122,ANTWERP,MT,BESIKTAS ICELAND,3049,2016-12-16T14:09:06Z,gothenborg,Tanker,0,119,7468.0592,7345.632
